#,Company,Symbol,Portfolio%,Price,Chg,% Chg
296,"Avalonbay Communities, Inc.",AVB,0.06%,184.63,0.95,(0.52%)
297,"Wec Energy Group, Inc.",WEC,0.06%,80.27,-0.30,(-0.37%)
298,Wabtec Inc.,WAB,0.06%,145.50,2.64,(1.85%)
299,Lyondellbasell Industries N.v. Class A,LYB,0.06%,101.29,-1.00,(-0.98%)
300,Weyerhaeuser Company,WY,0.06%,35.53,0.21,(0.61%)
301,Corning Incorporated,GLW,0.06%,32.95,0.28,(0.86%)
302,"Nvr, Inc.",NVR,0.06%,"7,952.94",-5.51,(-0.07%)
303,"Builders Firstsource, Inc.",BLDR,0.06%,211.56,4.95,(2.39%)
304,Dover Corporation,DOV,0.06%,173.10,-2.46,(-1.40%)
305,"Molina Healthcare, Inc.",MOH,0.06%,120.00,-296.10,(-71.16%)
306,Targa Resources Corp.,TRGP,0.06%,111.28,2.20,(2.01%)
307,Fifth Third Bancorp,FITB,0.06%,36.88,0.27,(0.73%)
308,"Pultegroup, Inc.",PHM,0.06%,116.07,2.08,(1.83%)
309,Broadridge Financial Solutions Inc,BR,0.05%,206.20,2.04,(1.00%)
310,Iron Mountain Inc.,IRM,0.05%,81.09,0.92,(1.14%)
311,Deckers Outdoor Corp,DECK,0.05%,963.85,48.67,(5.32%)
312,Sba Communications Corp,SBAC,0.05%,214.09,-1.63,(-0.76%)
313,M&t Bank Corp.,MTB,0.05%,146.56,3.37,(2.35%)
314,"Raymond James Financial, Inc.",RJF,0.05%,120.00,-2.70,(-2.20%)
315,Take-Two Interactive Software Inc,TTWO,0.05%,153.63,5.19,(3.50%)
316,"American Water Works Company, Inc",AWK,0.05%,118.41,0.32,(0.27%)
317,Dte Energy Company,DTE,0.05%,109.32,-0.72,(-0.65%)
318,Steris Plc,STE,0.05%,228.84,-4.43,(-1.90%)
319,Align Technology Inc,ALGN,0.05%,321.51,-7.63,(-2.32%)
320,Garmin Ltd,GRMN,0.05%,148.25,1.56,(1.07%)
321,State Street Corporation,STT,0.05%,74.29,0.47,(0.64%)
322,"Ptc, Inc",PTC,0.05%,186.98,-2.81,(-1.48%)
323,"Fleetcor Technologies, Inc.",FLT,0.05%,230.00,-76.25,(-24.90%)
324,Aptiv Plc,APTV,0.05%,80.67,1.66,(2.10%)
325,"Axon Enterprise, Inc.",AXON,0.05%,316.32,2.04,(0.65%)
326,Entergy Corporation,ETR,0.05%,103.45,0.43,(0.41%)
327,Genuine Parts Company,GPC,0.05%,157.46,2.15,(1.38%)
328,"Netapp, Inc",NTAP,0.05%,105.43,0.98,(0.94%)
329,Hewlett Packard Enterprise Company,HPE,0.05%,17.34,0.41,(2.39%)
330,Steel Dynamics Inc,STLD,0.05%,144.05,1.33,(0.93%)
331,Equity Residential,EQR,0.05%,63.58,0.90,(1.43%)
